Titre,Auteur,Date,Nombre de citations,Journal,Référence,Lien,BD
Exploring organizational change best practice: are there any clear-cut models and definitions?,Hallencreutz Jacob ; Turner Dawn-Marie,2011,26,International Journal of Quality and Service Sciences,Volume : 3 Issue : 1 Pages : 60-68,https://www.emerald.com/insight/content/doi/10.1108/17566691111115081/full/html,ABI/inform
People skills: Change management tools - Lewin's change model,Levasseur RE,2001,26,Interfaces,Volume :  31 Issue : 4 Pages : 71-73,http://mindfirepress.com/uploads/Lewin_s_change_model_INTERFACES_2001.pdf,Web of Science
Is change management obsolete?,Worley Christopher,2014,22,Organizational dynamics,Volume : 43 Issue : 3 Pages : 214+,https://www.sciencedirect.com/science/article/pii/S0090261614000394,ABI/inform
"Dancing in the dark: creativity, knowledge creation and (emergent) organizational change",Maimone Fabrizio ; Sinclair Marta,2014,19,Journal of organizational change management,Volume : 27 Issue : 2 Pages : 344-361,https://research-repository.griffith.edu.au/bitstream/handle/10072/61878/86486_1.pdf;jsessionid=D5E88115B903CA3E7AF4F06CF1E6B497?sequence=1,Web of Science
Overcoming resistance to change in engineering and construction: Change management factors for owner organizations,Lines Brian C ; Sullivan Kenneth T ; Smithwick Jake B ; Mischung Josh,2015,18,International Journal of Project Management,Volume : 33 Issue : 5 Pages : 1170+,https://www.sciencedirect.com/science/article/pii/S0263786315000095,ABI/inform
Organizational Settlements: Theorizing How Organizations Respond to Institutional Complexity,Schildt Henri ; Perkmann Markus,2017,18,Journal of management inquiry,Volume : 26 Issue : 2 Pages : 139-145,https://journals.sagepub.com/doi/pdf/10.1177/1056492616670756,Web of Science
A change management perspective on public sector cutback management: towards a framework for analysis,Schmidt Eduard ; Groeneveld Sandra ; Van de Walle Steven,2017,18,Public management review,Volume : 19 Issue : 10 Pages : 1538-1555,https://www.tandfonline.com/doi/pdf/10.1080/14719037.2017.1296488?needAccess=true&,Web of Science
A case study of polypharmacy management in nine European countries: Implications for change management and implementation,McIntosh Jennifer ; Alonso Albert ; MacLure Katie ; et al.,2018,13,Plos one,Volume : 13 Issue : 4 Article Number : e0195232 ,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0195232&type=printable,Web of Science
Organisational change towards servitization: a theoretical framework,Bigdeli Ali Ziaee ; Baines Tim ; Bustinza Oscar F ; et al.,2017,13,Competitiveness review,Volume : 27 Issue : 1 Pages : 12-39,https://publications.aston.ac.uk/id/eprint/30057/1/Organisational_Change_towards_Servitization.pdf,Web of Science
What are the sources of capability dynamism? Reconceptualizing dynamic capabilities from the perspective of organizational change,Andreeva Tatiana ; Ritala Paavo,2016,12,Baltic journal of management,Volume : 11 Issue : 3 Pages : 238-259,https://www.emerald.com/insight/content/doi/10.1108/BJM-02-2015-0049/full/html,Web of Science
Exploring Business Transformation: The Challenges of Developing a Benefits Realization Capability,Ashurst Colin ; Hodges Julie,2010,11,Journal of change management,Volume : 10 Issue : 2 Pages : 217+,https://scholar.google.com/scholar?hl=fr&as_sdt=0%2C5&q=Exploring+Business+Transformation%3A+The+Challenges+of+Developing+a+Benefits+Realization+Capability&btnG=,ABI/inform
Intentional Forgetting in Organizations: The Importance of Eliminating Retrieval Cues for Implementing New Routines,Kluge Annette ; Gronau Norbert,2018,9,Frontiers in psychology,Volume : 9 Article Number : 51,frontiersin.org/articles/10.3389/fpsyg.2018.00051/full,Web of Science
Building an implicit change leadership theory,Magsaysay Jowett F ; Hechanova Ma Regina M,2017,6,Leadership & organization development journal,Volume : 38 Issue : 6 Pages : 834-848,https://www.emerald.com/insight/content/doi/10.1108/LODJ-05-2016-0114/full/html#loginreload,ABI/inform
Facilitating organizational change for embedding sustainability into academia: a case study,Exter Nadine ; Grayson David ; Maher Rajiv,2013,6,The Journal of Management Development,Volume : 32 Issue : 3 Pages : 319-332,https://www.emerald.com/insight/content/doi/10.1108/02621711311318328/full/html?casa_token=KcMgC8msD0IAAAAA:pBmNLP1yd8bTfreQ-YamnvHgr6hkc5TaXLcnzLio7du5KmQRFKCWowGIfZIqIvpuVTlHHxeABjrbrPPf1a3KhvL_un9UXGVLKTNDBa2EU2ZOsaJ66h2j,ABI/inform
"How Do You Manage Change in Organizations? Training, Development, Innovation, and Their Relationships",Sartori Riccardo ; Costantini  Arianna ; Ceschi Andrea ; et al.,2018,5,Frontiers in psychology,Volume : 9 Article Number : 313,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00313/full,Web of Science
Organizational Change: Perspectives From Human Resource Management,Baran Benjamin E ; Filipkowski Jenna N ; Stockwell Rebecca A,2019,4,Journal of Change Management,Volume : 19 Issue : 3 Pages : 201-219,https://www.tandfonline.com/doi/full/10.1080/14697017.2018.1502800,ABI/inform
The success of Caterpillar's global approach to change management,Wolpert Catherine,2010,4,Global Business and Organizational Excellence,Volume : 29 Issue : 6 Pages : 17+,https://scholar.google.com/scholar?hl=fr&as_sdt=0%2C5&q=The+success+of+Caterpillar%27s+global+approach+to+change+management&btnG=,ABI/inform
"Lean thinking: outside-in, bottom-up? The paradox of contemporary soft lean and consultant-driven lean implementation","Holmemo, Marte D. -Q.; Rolfsen, Monica; Ingvaldsen, Jonas A.",2018,4,Total quality management & business excellence,Volume : 29 Issue : 1-2 Pages : 148-160,https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2460862/Holmemo_Rolfsen_Ingvaldsen_2016_Lean+thinking+outside+in+bottom+up+v+accepted+version.pdf?sequence=1,Web of Science
Linking Organizational Change Management and Organizational Foresight,Öner M Atilla ; Benson Caroline ; Beser Senem Göl,2014,2,Strategic change,Volume : 23 Issue : 3-4 Pages : 185+,http://www.maoner.com/2014_strategic_change.pdf,ABI/inform
Understanding Teams in Order to Understand Organizational Change: The OTIC Model of Organizational Change,By Rune Todnem ; Kuipers Ben ; Procter Stephen,2018,1,Journal of Change Management,Volume : 18 Issue : 1 Pages : 1-9,https://www.tandfonline.com/doi/full/10.1080/14697017.2018.1433742,ABI/inform
Changing the nature of organizational change,Kirby Deborah,2019,0,Strategic hr review,Volume : 18 Issue : 4 Pages : 155-160,https://www.emerald.com/insight/content/doi/10.1108/SHR-05-2019-0036/full/html,ABI/inform
Improve change management in organizations,Ben Mansour Jamal,2020,0,Relations industrielles-industrial relations,Volume : 75 Issue : 1 Pages : 177-179,,Web of Science
